"Type","Direccion","Num","Distrito","Barrio","Seccion","CP","UTMX","UTMY"
"AVENIDA","ABANDOIBARRA",2,"6 - ABANDO","ABANDO",2,48009,505439.4,4790848.54
"AVENIDA","ABANDOIBARRA",3,"6 - ABANDO","ABANDO",2,48009,505147.06,4790860.58
"AVENIDA","ABANDOIBARRA",4,"6 - ABANDO","INDAUTXU",1,48011,504577,4790645.68
"ESTRADA","ABARO",2,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502347.72,4791680.02
"ESTRADA","ABARO",4,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502330.08,4791675.82
"ESTRADA","ABARO",6,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502311.75,4791677.14
"ESTRADA","ABARO",7,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502233.54,4791692.3
"ESTRADA","ABARO",8,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502293.87,4791683.91
"ESTRADA","ABARO",9,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502210.13,4791701.79
"ESTRADA","ABARO",10,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502253.14,4791700.34
"ESTRADA","ABARO",11,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502194.76,4791707.98
"ESTRADA","ABARO",12,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502222.04,4791712.77
"ESTRADA","ABARO",13,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502187.82,4791710.77
"ESTRADA","ABARO",15,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502173.39,4791716.7
"ESTRADA","ABARO",24,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502193.13,4791724.69
"CALLE","ABASOLO",2,"2 - URIBARRI","URIBARRI",20,48007,506485.06,4790901.56
"CALLE","ABASOLO",4,"2 - URIBARRI","URIBARRI",20,48007,506518.07,4790881.39
"CALLE","ABASOLO",11,"2 - URIBARRI","URIBARRI",3,48007,506552.08,4790996.18
"CALLE","ABASOLO",21,"2 - URIBARRI","URIBARRI",3,48007,506577.72,4791013.08
"CALLE","ABASOLO",22,"2 - URIBARRI","URIBARRI",3,48007,506592,4790986.71
"CALLE","ABASOLO",23,"2 - URIBARRI","URIBARRI",3,48007,506588.46,4791038.66
"CALLE","ABASOLO",24,"2 - URIBARRI","URIBARRI",3,48007,506604.05,4791007.08
"CALLE","ABUSU",1,"5 - IBAIONDO","LA PEÑA",39,48003,506549.61,4787836.01
"CALLE","ACEBAL IDIGORAS",2,"6 - ABANDO","ABANDO",10,48001,506179.64,4790293.79
"CALLE","ACEBAL IDIGORAS",4,"6 - ABANDO","ABANDO",10,48001,506179.37,4790279.11
"CALLE","ACEBAL IDIGORAS",6,"6 - ABANDO","ABANDO",10,48001,506178.81,4790247.59
"CALLE","ACHUCARRO DOCTOR",1,"6 - ABANDO","INDAUTXU",17,48011,505228.24,4790195.53
"CALLE","ACHUCARRO DOCTOR",2,"6 - ABANDO","INDAUTXU",17,48011,505233.46,4790209.36
"CALLE","ACHUCARRO DOCTOR",3,"6 - ABANDO","INDAUTXU",17,48011,505209.81,4790200.98
"CALLE","ACHUCARRO DOCTOR",4,"6 - ABANDO","INDAUTXU",17,48011,505210.68,4790216.31
"CALLE","ACHUCARRO DOCTOR",5,"6 - ABANDO","INDAUTXU",17,48011,505191.21,4790206.58
"CALLE","ACHUCARRO DOCTOR",6,"6 - ABANDO","INDAUTXU",17,48011,505185.61,4790223.62
"CALLE","ACHUCARRO DOCTOR",7,"6 - ABANDO","INDAUTXU",17,48011,505172.38,4790212.17
"CALLE","ACHUCARRO DOCTOR",8,"6 - ABANDO","INDAUTXU",17,48011,505177.11,4790226.2
"CALLE","ACHUCARRO DOCTOR",9,"6 - ABANDO","INDAUTXU",17,48011,505153.59,4790217.71
"CALLE","ACHUCARRO DOCTOR",10,"6 - ABANDO","INDAUTXU",17,48011,505157.85,4790231.95
"CALLE","AGUERO MARTIN",1,"7 - ERREKALDE","AMETZOLA",13,48012,505220.71,4789420.38
"CALLE","AGUIRRE DOMINGO DE",2,"4 - BEGOÑA","SANTUTXU",17,48004,507310.16,4789088.41
"CALLE","AGUIRRE HERMANOS",1,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504988.87,4791045.91
"CALLE","AGUIRRE HERMANOS",2,"1 - DEUSTU","SAN PEDRO DE DEUSTU",45,48014,504998.47,4791144.08
"AVENIDA","AGUIRRE LEHENDAKARI",1,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504776.84,4791148.78
"AVENIDA","AGUIRRE LEHENDAKARI",2,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504748.53,4791190.74
"AVENIDA","AGUIRRE LEHENDAKARI",3,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504763.13,4791157.29
"AVENIDA","AGUIRRE LEHENDAKARI",4,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504734.99,4791193.27
"AVENIDA","AGUIRRE LEHENDAKARI",5,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504741.87,4791161.27
"AVENIDA","AGUIRRE LEHENDAKARI",6,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504711.1,4791202.77
"AVENIDA","AGUIRRE LEHENDAKARI",7,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504726.62,4791164.16
"AVENIDA","AGUIRRE LEHENDAKARI",9,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504701.31,4791169
"AVENIDA","AGUIRRE LEHENDAKARI",10,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504629.81,4791213.83
"AVENIDA","AGUIRRE LEHENDAKARI",11,"1 - DEUSTU","SAN PEDRO DE DEUSTU",39,48014,504623.41,4791185.87
"AVENIDA","AGUIRRE LEHENDAKARI",13,"1 - DEUSTU","SAN PEDRO DE DEUSTU",40,48014,504457.71,4791202.38
"AVENIDA","AGUIRRE LEHENDAKARI",15,"1 - DEUSTU","SAN PEDRO DE DEUSTU",40,48014,504442.14,4791202.64
"AVENIDA","AGUIRRE LEHENDAKARI",16,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504486.96,4791236.13
"AVENIDA","AGUIRRE LEHENDAKARI",17,"1 - DEUSTU","SAN PEDRO DE DEUSTU",40,48014,504426.9,4791203.16
"AVENIDA","AGUIRRE LEHENDAKARI",18,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504471.47,4791236.79
"AVENIDA","AGUIRRE LEHENDAKARI",20,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504456.8,4791237.39
"AVENIDA","AGUIRRE LEHENDAKARI",21,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504347.41,4791206.75
"AVENIDA","AGUIRRE LEHENDAKARI",22,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504442.39,4791238.29
"AVENIDA","AGUIRRE LEHENDAKARI",23,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504325.11,4791207.54
"AVENIDA","AGUIRRE LEHENDAKARI",24,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504414.57,4791239.44
"AVENIDA","AGUIRRE LEHENDAKARI",25,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504307.05,4791208.04
"AVENIDA","AGUIRRE LEHENDAKARI",26,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504392.98,4791241.16
"AVENIDA","AGUIRRE LEHENDAKARI",27,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504291.5,4791208.67
"AVENIDA","AGUIRRE LEHENDAKARI",28,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504376.2,4791245.07
"AVENIDA","AGUIRRE LEHENDAKARI",29,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504264.76,4791209.73
"AVENIDA","AGUIRRE LEHENDAKARI",30,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504302.82,4791244.03
"AVENIDA","AGUIRRE LEHENDAKARI",31,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504240.9,4791211.14
"AVENIDA","AGUIRRE LEHENDAKARI",32,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504286.38,4791244.23
"AVENIDA","AGUIRRE LEHENDAKARI",33,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504221.7,4791211.95
"AVENIDA","AGUIRRE LEHENDAKARI",34,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504262.37,4791245.63
"AVENIDA","AGUIRRE LEHENDAKARI",36,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504247.5,4791245.82
"AVENIDA","AGUIRRE LEHENDAKARI",38,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504226.68,4791247.07
"AVENIDA","AGUIRRE LEHENDAKARI",40,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504215.05,4791247.59
"AVENIDA","AGUIRRE LEHENDAKARI",42,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,504131.24,4791255.55
"AVENIDA","AGUIRRE LEHENDAKARI",44,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,503864.22,4791335.01
"AVENIDA","AGUIRRE LEHENDAKARI",46,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,503850.38,4791341.63
"AVENIDA","AGUIRRE LEHENDAKARI",48,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,503835.22,4791348.94
"AVENIDA","AGUIRRE LEHENDAKARI",50,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,503793.19,4791326.87
"AVENIDA","AGUIRRE LEHENDAKARI",52,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,503780.78,4791332.59
"AVENIDA","AGUIRRE LEHENDAKARI",54,"1 - DEUSTU","SAN PEDRO DE DEUSTU",26,48014,503771.2,4791337.3
"AVENIDA","AGUIRRE LEHENDAKARI",61,"1 - DEUSTU","SAN PEDRO DE DEUSTU",33,48014,504062.73,4791223.48
"AVENIDA","AGUIRRE LEHENDAKARI",63,"1 - DEUSTU","SAN PEDRO DE DEUSTU",33,48014,504039.92,4791226.75
"AVENIDA","AGUIRRE LEHENDAKARI",65,"1 - DEUSTU","SAN PEDRO DE DEUSTU",33,48014,504016.85,4791230.67
"AVENIDA","AGUIRRE LEHENDAKARI",67,"1 - DEUSTU","SAN PEDRO DE DEUSTU",33,48014,503994.24,4791234.9
"AVENIDA","AGUIRRE LEHENDAKARI",75,"1 - DEUSTU","SAN PEDRO DE DEUSTU",25,48014,503828.65,4791255.53
"AVENIDA","AGUIRRE LEHENDAKARI",81,"1 - DEUSTU","IBARREKOLANDA",19,48015,503564.05,4791402.72
"AVENIDA","AGUIRRE LEHENDAKARI",83,"1 - DEUSTU","IBARREKOLANDA",19,48015,503464.11,4791384.27
"AVENIDA","AGUIRRE LEHENDAKARI",85,"1 - DEUSTU","IBARREKOLANDA",16,48015,503452.71,4791479.21
"AVENIDA","AGUIRRE LEHENDAKARI",87,"1 - DEUSTU","IBARREKOLANDA",16,48015,503448.17,4791506.88
"AVENIDA","AGUIRRE LEHENDAKARI",89,"1 - DEUSTU","IBARREKOLANDA",16,48015,503419.83,4791517.39
"AVENIDA","AGUIRRE LEHENDAKARI",90,"1 - DEUSTU","IBARREKOLANDA",23,48015,503564.07,4791480.46
"AVENIDA","AGUIRRE LEHENDAKARI",91,"1 - DEUSTU","IBARREKOLANDA",16,48015,503408.54,4791526.55
"AVENIDA","AGUIRRE LEHENDAKARI",129,"1 - DEUSTU","IBARREKOLANDA",16,48015,503391.39,4791553.32
"AVENIDA","AGUIRRE LEHENDAKARI",131,"1 - DEUSTU","IBARREKOLANDA",16,48015,503390.18,4791585.94
"AVENIDA","AGUIRRE LEHENDAKARI",133,"1 - DEUSTU","IBARREKOLANDA",16,48015,503330.96,4791625.35
"AVENIDA","AGUIRRE LEHENDAKARI",135,"1 - DEUSTU","IBARREKOLANDA",16,48015,503345.06,4791629.75
"AVENIDA","AGUIRRE LEHENDAKARI",137,"1 - DEUSTU","IBARREKOLANDA",16,48015,503320.26,4791672.85
"AVENIDA","AGUIRRE LEHENDAKARI",138,"1 - DEUSTU","IBARREKOLANDA",17,48015,503403.5,4791699.27
"AVENIDA","AGUIRRE LEHENDAKARI",139,"1 - DEUSTU","IBARREKOLANDA",16,48015,503305.28,4791709.6
"AVENIDA","AGUIRRE LEHENDAKARI",140,"1 - DEUSTU","IBARREKOLANDA",17,48015,503364.64,4791741.67
"AVENIDA","AGUIRRE LEHENDAKARI",141,"1 - DEUSTU","IBARREKOLANDA",16,48015,503304.77,4791737.85
"AVENIDA","AGUIRRE LEHENDAKARI",143,"1 - DEUSTU","IBARREKOLANDA",16,48015,503311.98,4791763.46
"AVENIDA","AGUIRRE LEHENDAKARI",144,"1 - DEUSTU","SAN IGNACIO",12,48015,503323.56,4791828.91
"AVENIDA","AGUIRRE LEHENDAKARI",145,"1 - DEUSTU","SAN IGNACIO",11,48015,503290.7,4791816.77
"AVENIDA","AGUIRRE LEHENDAKARI",146,"1 - DEUSTU","SAN IGNACIO",12,48015,503315.62,4791848.38
"AVENIDA","AGUIRRE LEHENDAKARI",146,"1 - DEUSTU","SAN IGNACIO",12,48015,503308.48,4791845.99
"AVENIDA","AGUIRRE LEHENDAKARI",147,"1 - DEUSTU","SAN IGNACIO",11,48015,503282.96,4791835.94
"AVENIDA","AGUIRRE LEHENDAKARI",148,"1 - DEUSTU","SAN IGNACIO",12,48015,503307.55,4791867.69
"AVENIDA","AGUIRRE LEHENDAKARI",149,"1 - DEUSTU","SAN IGNACIO",11,48015,503274.61,4791856.24
"AVENIDA","AGUIRRE LEHENDAKARI",150,"1 - DEUSTU","SAN IGNACIO",12,48015,503269.16,4791961.61
"AVENIDA","AGUIRRE LEHENDAKARI",151,"1 - DEUSTU","SAN IGNACIO",11,48015,503265.34,4791878.97
"AVENIDA","AGUIRRE LEHENDAKARI",152,"1 - DEUSTU","SAN IGNACIO",12,48015,503261.27,4791981.09
"AVENIDA","AGUIRRE LEHENDAKARI",153,"1 - DEUSTU","SAN IGNACIO",11,48015,503246.78,4791924.07
"AVENIDA","AGUIRRE LEHENDAKARI",154,"1 - DEUSTU","SAN IGNACIO",12,48015,503253.71,4792000.72
"AVENIDA","AGUIRRE LEHENDAKARI",155,"1 - DEUSTU","SAN IGNACIO",11,48015,503237.67,4791946.73
"AVENIDA","AGUIRRE LEHENDAKARI",156,"1 - DEUSTU","SAN IGNACIO",12,48015,503236.68,4792042.19
"AVENIDA","AGUIRRE LEHENDAKARI",157,"1 - DEUSTU","SAN IGNACIO",11,48015,503230.78,4791963.44
"AVENIDA","AGUIRRE LEHENDAKARI",158,"1 - DEUSTU","SAN IGNACIO",12,48015,503228.72,4792061.61
"AVENIDA","AGUIRRE LEHENDAKARI",159,"1 - DEUSTU","SAN IGNACIO",11,48015,503221.6,4791985.9
"AVENIDA","AGUIRRE LEHENDAKARI",160,"1 - DEUSTU","SAN IGNACIO",12,48015,503220.74,4792081.13
"AVENIDA","AGUIRRE LEHENDAKARI",161,"1 - DEUSTU","SAN IGNACIO",11,48015,503200.46,4792037.35
"AVENIDA","AGUIRRE LEHENDAKARI",162,"1 - DEUSTU","SAN IGNACIO",3,48015,503200.42,4792130.72
"AVENIDA","AGUIRRE LEHENDAKARI",163,"1 - DEUSTU","SAN IGNACIO",11,48015,503191.38,4792059.49
"AVENIDA","AGUIRRE LEHENDAKARI",164,"1 - DEUSTU","SAN IGNACIO",3,48015,503192.51,4792150.07
"AVENIDA","AGUIRRE LEHENDAKARI",165,"1 - DEUSTU","SAN IGNACIO",11,48015,503183.69,4792078.61
"AVENIDA","AGUIRRE LEHENDAKARI",166,"1 - DEUSTU","SAN IGNACIO",3,48015,503184.48,4792169.48
"AVENIDA","AGUIRRE LEHENDAKARI",167,"1 - DEUSTU","SAN IGNACIO",8,48015,503166.81,4792118.41
"AVENIDA","AGUIRRE LEHENDAKARI",168,"1 - DEUSTU","SAN IGNACIO",3,48015,503160.95,4792227.23
"AVENIDA","AGUIRRE LEHENDAKARI",169,"1 - DEUSTU","SAN IGNACIO",8,48015,503158.95,4792137.49
"AVENIDA","AGUIRRE LEHENDAKARI",170,"1 - DEUSTU","SAN IGNACIO",3,48015,503153.07,4792246.28
"AVENIDA","AGUIRRE LEHENDAKARI",171,"1 - DEUSTU","SAN IGNACIO",8,48015,503149.87,4792159.5
"AVENIDA","AGUIRRE LEHENDAKARI",172,"1 - DEUSTU","SAN IGNACIO",3,48015,503115.64,4792337.75
"AVENIDA","AGUIRRE LEHENDAKARI",173,"1 - DEUSTU","SAN IGNACIO",8,48015,503128.71,4792212.63
"AVENIDA","AGUIRRE LEHENDAKARI",174,"1 - DEUSTU","SAN IGNACIO",3,48015,503106.28,4792359.3
"AVENIDA","AGUIRRE LEHENDAKARI",175,"1 - DEUSTU","SAN IGNACIO",8,48015,503121.91,4792229.25
"AVENIDA","AGUIRRE LEHENDAKARI",176,"1 - DEUSTU","SAN IGNACIO",3,48015,503089.02,4792401.82
"AVENIDA","AGUIRRE LEHENDAKARI",177,"1 - DEUSTU","SAN IGNACIO",8,48015,503112.37,4792252.46
"AVENIDA","AGUIRRE LEHENDAKARI",178,"1 - DEUSTU","SAN IGNACIO",3,48015,503081.79,4792419.11
"AVENIDA","AGUIRRE LEHENDAKARI",179,"1 - DEUSTU","SAN IGNACIO",8,48015,503102.27,4792276.68
"AVENIDA","AGUIRRE LEHENDAKARI",180,"1 - DEUSTU","SAN IGNACIO",3,48015,503073.8,4792438.52
"AVENIDA","AGUIRRE LEHENDAKARI",181,"1 - DEUSTU","SAN IGNACIO",2,48015,503082.86,4792324.45
"AVENIDA","AGUIRRE LEHENDAKARI",182,"1 - DEUSTU","ELORRIETA",46,48015,503049.81,4792563.15
"AVENIDA","AGUIRRE LEHENDAKARI",183,"1 - DEUSTU","SAN IGNACIO",2,48015,503074.03,4792346.1
"AVENIDA","AGUIRRE LEHENDAKARI",184,"1 - DEUSTU","ELORRIETA",46,48015,502930.08,4792506.1
"AVENIDA","AGUIRRE LEHENDAKARI",185,"1 - DEUSTU","SAN IGNACIO",2,48015,503058.15,4792384.82
"AVENIDA","AGUIRRE LEHENDAKARI",186,"1 - DEUSTU","ELORRIETA",46,48015,502876.16,4792530.34
"AVENIDA","AGUIRRE LEHENDAKARI",186,"1 - DEUSTU","ELORRIETA",46,48015,502879.55,4792557
"AVENIDA","AGUIRRE LEHENDAKARI",186,"1 - DEUSTU","ELORRIETA",46,48015,502849.67,4792567.97
"AVENIDA","AGUIRRE LEHENDAKARI",186,"1 - DEUSTU","ELORRIETA",46,48015,502829.13,4792578.58
"AVENIDA","AGUIRRE LEHENDAKARI",187,"1 - DEUSTU","SAN IGNACIO",2,48015,503049.3,4792406.52
"CALLE","AGUIRRE MAXIMO",1,"6 - ABANDO","ABANDO",7,48011,505215.65,4790460.85
"CALLE","AGUIRRE MAXIMO",2,"6 - ABANDO","INDAUTXU",1,48011,505207.7,4790485.87
"CALLE","AGUIRRE MAXIMO",3,"6 - ABANDO","ABANDO",7,48011,505210.52,4790444.08
"CALLE","AGUIRRE MAXIMO",4,"6 - ABANDO","INDAUTXU",1,48011,505202.25,4790467.88
"CALLE","AGUIRRE MAXIMO",5,"6 - ABANDO","ABANDO",7,48011,505207.55,4790433.88
"CALLE","AGUIRRE MAXIMO",6,"6 - ABANDO","INDAUTXU",1,48011,505199.34,4790458.28
"CALLE","AGUIRRE MAXIMO",7,"6 - ABANDO","ABANDO",7,48011,505194.1,4790389
"CALLE","AGUIRRE MAXIMO",9,"6 - ABANDO","ABANDO",7,48011,505184.89,4790358.34
"CALLE","AGUIRRE MAXIMO",10,"6 - ABANDO","INDAUTXU",1,48011,505174.66,4790376.69
"CALLE","AGUIRRE MAXIMO",11,"6 - ABANDO","ABANDO",7,48011,505179.19,4790339.5
"CALLE","AGUIRRE MAXIMO",11,"6 - ABANDO","INDAUTXU",17,48011,505153.63,4790254.61
"CALLE","AGUIRRE MAXIMO",12,"6 - ABANDO","INDAUTXU",1,48011,505168.38,4790355.66
"CALLE","AGUIRRE MAXIMO",16,"6 - ABANDO","INDAUTXU",17,48011,505137.06,4790251.8
"CALLE","AGUIRRE MAXIMO",17,"6 - ABANDO","INDAUTXU",17,48011,505124.24,4790156.67
"CALLE","AGUIRRE MAXIMO",18,"6 - ABANDO","INDAUTXU",17,48011,505121.91,4790236.31
"CALLE","AGUIRRE MAXIMO",18,"6 - ABANDO","INDAUTXU",17,48011,505111.08,4790230.96
"CALLE","AGUIRRE MAXIMO",19,"6 - ABANDO","INDAUTXU",17,48011,505118.83,4790138.96
"CALLE","AGUIRRE MAXIMO",20,"6 - ABANDO","INDAUTXU",17,48011,505118.54,4790223.16
"CALLE","AGUIRRE MAXIMO",21,"6 - ABANDO","INDAUTXU",17,48011,505114.19,4790123.93
"CALLE","AGUIRRE MAXIMO",22,"6 - ABANDO","INDAUTXU",17,48011,505120.94,4790198.03
"CALLE","AGUIRRE MAXIMO",23,"6 - ABANDO","INDAUTXU",17,48011,505108.95,4790106.03
"CALLE","AGUIRRE MAXIMO",24,"6 - ABANDO","INDAUTXU",22,48011,505108.37,4790156.11
"CALLE","AGUIRRE MAXIMO",26,"6 - ABANDO","INDAUTXU",22,48011,505104.23,4790142.36
"CALLE","AGUIRRE MAXIMO",28,"6 - ABANDO","INDAUTXU",22,48011,505100.13,4790128.39
"CALLE","AGUIRRE MAXIMO",30,"6 - ABANDO","INDAUTXU",22,48011,505096.02,4790114.73
"CALLE","AGUIRRE MAXIMO",32,"6 - ABANDO","INDAUTXU",22,48011,505091.88,4790100.95
"CALLE","AGUIRRE-AGUIRRE MARIA",1,"4 - BEGOÑA","BEGOÑA",2,48006,506718.8,4789945.76
"CALLE","AGUIRRE-AGUIRRE MARIA",2,"4 - BEGOÑA","BEGOÑA",2,48006,506706.15,4789950.48
"CALLE","AGUIRRE-AGUIRRE MARIA",3,"4 - BEGOÑA","BEGOÑA",2,48006,506731.39,4789930.4
"GRUPO","AIXEONA",1,"3 - OTXARKOAGA-TXURDINAGA","OTXARKOAGA",3,48004,508195.89,4790138.28
"GRUPO","AIXEONA",2,"3 - OTXARKOAGA-TXURDINAGA","OTXARKOAGA",3,48004,508158.42,4790115.47
"GRUPO","AIXEONA",3,"3 - OTXARKOAGA-TXURDINAGA","OTXARKOAGA",3,48004,508129.06,4790151.71
"GRUPO","AIXEONA",4,"3 - OTXARKOAGA-TXURDINAGA","OTXARKOAGA",3,48004,508103.38,4790188.92
"CALLE","AJURIAGUERRA JUAN",1,"6 - ABANDO","ABANDO",9,48009,505687.34,4790476.72
"CALLE","AJURIAGUERRA JUAN",2,"6 - ABANDO","ABANDO",9,48009,505733.73,4790478.41
"CALLE","AJURIAGUERRA JUAN",3,"6 - ABANDO","ABANDO",9,48009,505671.23,4790481.51
"CALLE","AJURIAGUERRA JUAN",4,"6 - ABANDO","ABANDO",9,48009,505699.24,4790488.78
"CALLE","AJURIAGUERRA JUAN",4,"6 - ABANDO","ABANDO",9,48009,505714.49,4790484.17
"CALLE","AJURIAGUERRA JUAN",5,"6 - ABANDO","ABANDO",9,48009,505654.36,4790486.62
"CALLE","AJURIAGUERRA JUAN",6,"6 - ABANDO","ABANDO",9,48009,505681.98,4790494
"CALLE","AJURIAGUERRA JUAN",7,"6 - ABANDO","ABANDO",9,48009,505638.85,4790491.3
"CALLE","AJURIAGUERRA JUAN",8,"6 - ABANDO","ABANDO",9,48009,505664.71,4790499.38
"CALLE","AJURIAGUERRA JUAN",9,"6 - ABANDO","ABANDO",9,48009,505627.29,4790494.79
"CALLE","AJURIAGUERRA JUAN",10,"6 - ABANDO","ABANDO",9,48009,505647.43,4790504.5
"CALLE","AJURIAGUERRA JUAN",12,"6 - ABANDO","ABANDO",9,48009,505625.97,4790510.96
"CALLE","AJURIAGUERRA JUAN",13,"6 - ABANDO","ABANDO",8,48009,505576.17,4790510.22
"CALLE","AJURIAGUERRA JUAN",14,"6 - ABANDO","ABANDO",5,48009,505571.4,4790527.34
"CALLE","AJURIAGUERRA JUAN",15,"6 - ABANDO","ABANDO",8,48009,505532.97,4790522.92
"CALLE","AJURIAGUERRA JUAN",16,"6 - ABANDO","ABANDO",5,48009,505556.96,4790531.67
"CALLE","AJURIAGUERRA JUAN",17,"6 - ABANDO","ABANDO",4,48009,505439.11,4790551.51
"CALLE","AJURIAGUERRA JUAN",18,"6 - ABANDO","ABANDO",5,48009,505542.57,4790535.99
"CALLE","AJURIAGUERRA JUAN",19,"6 - ABANDO","ABANDO",4,48009,505395.06,4790564.54
"CALLE","AJURIAGUERRA JUAN",20,"6 - ABANDO","ABANDO",5,48009,505528.14,4790540.3
"CALLE","AJURIAGUERRA JUAN",21,"6 - ABANDO","ABANDO",4,48009,505386.32,4790567.37
"CALLE","AJURIAGUERRA JUAN",22,"6 - ABANDO","ABANDO",5,48009,505513.87,4790544.59
"CALLE","AJURIAGUERRA JUAN",23,"6 - ABANDO","ABANDO",2,48009,505327.75,4790584.86
"CALLE","AJURIAGUERRA JUAN",24,"6 - ABANDO","ABANDO",5,48009,505499.77,4790548.89
"CALLE","AJURIAGUERRA JUAN",25,"6 - ABANDO","ABANDO",2,48009,505306.71,4790591.2
"CALLE","AJURIAGUERRA JUAN",26,"6 - ABANDO","ABANDO",4,48009,505441.41,4790566.47
"CALLE","AJURIAGUERRA JUAN",27,"6 - ABANDO","ABANDO",2,48009,505283.94,4790597.96
"CALLE","AJURIAGUERRA JUAN",28,"6 - ABANDO","ABANDO",4,48009,505428.1,4790570.33
"CALLE","AJURIAGUERRA JUAN",29,"6 - ABANDO","ABANDO",2,48009,505261.08,4790604.77
"CALLE","AJURIAGUERRA JUAN",30,"6 - ABANDO","ABANDO",4,48009,505411.56,4790575.34
"CALLE","AJURIAGUERRA JUAN",31,"6 - ABANDO","ABANDO",2,48009,505244.86,4790609.58
"CALLE","AJURIAGUERRA JUAN",32,"6 - ABANDO","ABANDO",4,48009,505397.23,4790579.84
"CALLE","AJURIAGUERRA JUAN",33,"6 - ABANDO","ABANDO",2,48009,505228.39,4790614.51
"CALLE","AJURIAGUERRA JUAN",36,"6 - ABANDO","ABANDO",2,48009,505340.46,4790597.08
"CALLE","AJURIAGUERRA JUAN",38,"6 - ABANDO","ABANDO",2,48009,505325.81,4790609.62
"CALLE","AJURIAGUERRA JUAN",40,"6 - ABANDO","ABANDO",2,48009,505315.57,4790611.26
"CALLE","AJURIAGUERRA JUAN",42,"6 - ABANDO","ABANDO",2,48009,505289.38,4790612.32
"CALLE","AJURIAGUERRA JUAN",44,"6 - ABANDO","ABANDO",2,48009,505281.7,4790614.57
"CALLE","AJURIAGUERRA JUAN",46,"6 - ABANDO","ABANDO",2,48009,505263.35,4790619.85
"CALLE","AJURIAGUERRA JUAN",48,"6 - ABANDO","ABANDO",2,48009,505243.62,4790625.53
"CALLE","AJURIAGUERRA JUAN",52,"6 - ABANDO","ABANDO",2,48009,505231.81,4790629.02
"CALLE","ALBACETE",1,"4 - BEGOÑA","SANTUTXU",24,48004,507336.78,4789049.9
"CALLE","ALBACETE",3,"4 - BEGOÑA","SANTUTXU",24,48004,507318.34,4789038.01
"CALLE","ALBACETE",5,"4 - BEGOÑA","SANTUTXU",24,48004,507315.8,4789023.56
"CALLE","ALBACETE",7,"4 - BEGOÑA","SANTUTXU",24,48004,507286.65,4789029.01
