"Date","Price","Condition","YearBuilt","Age","HouseType","Storey","Neighbours","Orientation","Community","M2built","M2eff","Bedrooms","Bathrooms","Bathrooms2","Elevator","Heating","Water","ParkingPlaces","Cod","CP","District","DirExacta","Type","Street","Num","Origin","Neighbourhood"
"2010-10-14",250000,"segunda mano / buen estado",NA,"+ 30 años","  ático",5,1,NA,25,120,100,3,2,NA,FALSE,"individual","central",0,"VW0000001457613",48005,"Casco Viejo",TRUE,"CALLE","BARRENKALE","26","PARTICULAR",11
"2011-02-14",229900,"segunda mano / buen estado",NA,"+ 30 años","  piso",5,2,NA,36,58,0,3,1,NA,TRUE,"individual","central",0,"VW0000003894267",48003,"Ibaiondo",TRUE,NA,"ZABALAREN ZEHARKALEA","8","PARTICULAR",NA
"2011-03-06",219900,"segunda mano / buen estado",NA,"+ 30 años","  piso",5,2,NA,36,58,0,3,1,NA,TRUE,"individual","central",0,"VW0000003894267",48003,"Ibaiondo",TRUE,NA,"ZABALAREN ZEHARKALEA","8","PARTICULAR",NA
"2011-04-22",214900,"segunda mano / buen estado",NA,"+ 30 años","  piso",5,2,NA,36,58,0,3,1,NA,TRUE,"individual","central",0,"VW0000003894267",48003,"Ibaiondo",TRUE,NA,"ZABALAREN ZEHARKALEA","8","PARTICULAR",NA
"2011-02-15",498840,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,2,NA,55,110,0,4,1,NA,TRUE,"individual","central",0,"VW0000003898446",48010,"Indautxu",TRUE,NA,"ALAMEDA SAN MAMES","47","PARTICULAR",NA
"2010-08-11",720000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,2,"sudeste",99,90,80,3,2,NA,TRUE,"central","indet",0,"VW0000003329712",48011,"Indautxu",TRUE,"CALLE","ERCILLA","31","PARTICULAR",18
"2010-11-15",695000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,2,"sudeste",99,90,80,3,2,NA,TRUE,"central","indet",0,"VW0000003329712",48011,"Indautxu",TRUE,"CALLE","ERCILLA","31","PARTICULAR",18
"2011-04-27",650004,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,2,"sudeste",99,90,80,3,2,NA,TRUE,"central","indet",0,"VW0000003329712",48011,"Indautxu",TRUE,"CALLE","ERCILLA","31","PARTICULAR",18
"2011-04-27",645000,"segunda mano / buen estado",NA,"+ 30 años","  ático",6,2,"sudeste",99,90,80,3,2,NA,TRUE,"central","indet",0,"VW0000003329712",48011,"Indautxu",TRUE,"CALLE","ERCILLA","31","PARTICULAR",18
"2011-03-21",198000,"segunda mano / buen estado",NA,"+ 30 años","  piso",8,4,NA,30,70,60,2,1,NA,TRUE,"desc/no tiene","individual",0,"VW0000004000318",48003,"Ibaiondo",TRUE,"CALLE","XENPELAR","5","PARTICULAR",38
